"cell_type","n_cells","batch_table","batch_silhouette","normalized_batch_entropy","same_batch_fraction"
"CNT",560,"P56_batch1=294;P56_batch2=266",0.0232929087743083,0.91228421225622,0.541130952380952
"DCT",741,"P56_batch1=307;P56_batch2=434",-0.0217298696035419,0.944147041609247,0.525416104363473
"Endo",1143,"P56_batch1=712;P56_batch2=431",0.0163954262477763,0.913300634585564,0.547885680956547
"IC",409,"P56_batch1=221;P56_batch2=188",0.0484640700847939,0.88980027955514,0.563814180929095
"immune",185,"P56_batch1=84;P56_batch2=101",-0.00335004530600785,0.842505055878278,0.609369369369369
"LOH",1947,"P56_batch1=1042;P56_batch2=905",0.00704203799199667,0.953687383566072,0.517205957883924
"NP",143,"P56_batch1=90;P56_batch2=53",0.00840471058293991,0.892683962233119,0.57016317016317
"NP_LOH",161,"P56_batch1=92;P56_batch2=69",0.0332522801519336,0.889752306264833,0.560869565217391
"PC",478,"P56_batch1=266;P56_batch2=212",0.0171049222790721,0.888881435030668,0.560739191073919
"Podo",196,"P56_batch1=157;P56_batch2=39",0.172212593227855,0.747292763177667,0.758503401360544
"PT",4757,"P56_batch1=2459;P56_batch2=2298",0.00168953177045072,0.943136268137629,0.526354144769112
"PT_out",237,"P56_batch1=106;P56_batch2=131",0.0746758384076331,0.926066322130086,0.536990154711674
"PT2",1482,"P56_batch1=657;P56_batch2=825",-0.000237369695806634,0.902309686451107,0.552564102564103
"stroma1",208,"P56_batch1=107;P56_batch2=101",0.0222673698310017,0.934677939252971,0.524038461538462
"stroma2",879,"P56_batch1=535;P56_batch2=344",-0.00333823494708974,0.904329452384028,0.549108835798256
