"summary_type","field","value","n"
"merge","row_index","metadata_umap_overlap",28316
"cell_type_counts","cell_type","PT",7412
"cell_type_counts","cell_type","LOH",3628
"cell_type_counts","cell_type","stroma2",3539
"cell_type_counts","cell_type","Endo",2368
"cell_type_counts","cell_type","NP",2232
"cell_type_counts","cell_type","PT2",1943
"cell_type_counts","cell_type","stroma1",1479
"cell_type_counts","cell_type","PC",1325
"cell_type_counts","cell_type","DCT",950
"cell_type_counts","cell_type","Podo",912
"cell_type_counts","cell_type","CNT",879
"cell_type_counts","cell_type","IC",599
"cell_type_counts","cell_type","PT_out",446
"cell_type_counts","cell_type","immune",386
"cell_type_counts","cell_type","NP_LOH",218
"sample_counts","sample","P56_batch1",7129
"sample_counts","sample","P56_batch2",6397
"sample_counts","sample","P0_batch1",5993
"sample_counts","sample","P0_batch2",5436
"sample_counts","sample","P21_batch1",3361
