"cell_type","n_cells","batch_table","before_batch_entropy","after_batch_entropy","before_same_batch_fraction","after_same_batch_fraction","before_batch_silhouette","after_batch_silhouette"
"CNT",560,"P56_batch1=294;P56_batch2=266",0.453065167761632,0.678256126179806,0.985238095238095,0.684761904761905,0.569262276693309,0.178907717031102
"DCT",741,"P56_batch1=307;P56_batch2=434",0.488030214070922,0.650270947094772,0.975708502024291,0.708277103013945,0.463575846477778,0.0829376111116106
"Endo",1143,"P56_batch1=712;P56_batch2=431",0.489537026872689,0.725532312141199,0.970195392242636,0.662642169728784,0.55983648776372,0.107661904501182
"IC",409,"P56_batch1=221;P56_batch2=188",0.629892199155398,0.803421032432978,0.941972290138549,0.619233903830481,0.326112257441296,0.0663208052467446
"immune",185,"P56_batch1=84;P56_batch2=101",0.581510565103213,0.893742415374688,0.832072072072072,0.565765765765766,0.0817982143185649,0.0261388052538243
"LOH",1947,"P56_batch1=1042;P56_batch2=905",0.331671796242213,0.687265807997129,0.978873480568396,0.705392912172573,0.664190875838891,0.18711808429882
"NP",143,"P56_batch1=90;P56_batch2=53",0.513888497158719,0.844032207653773,0.911421911421911,0.598601398601399,0.241354181503138,0.116156466891299
"NP_LOH",161,"P56_batch1=92;P56_batch2=69",0.419246356790653,0.800409986724276,0.980538302277433,0.636024844720497,0.667462383302006,0.0777893666543384
"PC",478,"P56_batch1=266;P56_batch2=212",0.472581977733219,0.725238231393681,0.954323570432357,0.675941422594142,0.343448591426447,0.107301152617744
"Podo",196,"P56_batch1=157;P56_batch2=39",0.744706234983098,0.605452715324632,0.904081632653061,0.764115646258503,0.470604238341654,0.40031907239615
"PT",4757,"P56_batch1=2459;P56_batch2=2298",0.269561400591432,0.659387352314316,0.990890617335856,0.719746338728891,0.820639570527091,0.171723606012763
"PT_out",237,"P56_batch1=106;P56_batch2=131",0.763626716403254,0.805038410635364,0.885372714486639,0.69929676511955,0.326761295600522,0.0809485186419363
"PT2",1482,"P56_batch1=657;P56_batch2=825",0.257498463796912,0.646088106739391,0.989901034637877,0.73936122357175,0.898123178188808,0.183249576624237
"stroma1",208,"P56_batch1=107;P56_batch2=101",0.708514147313289,0.852478240737215,0.85,0.586057692307692,0.14884463740587,0.0705777043882549
"stroma2",879,"P56_batch1=535;P56_batch2=344",0.397795590494924,0.817910660998018,0.959158134243459,0.609973454683352,0.449893896950236,0.122021057100285
