"row_index","batch","cell_type","cell_observed_mixing_score"
1,"P56_batch2","PT2",0.233333333333333
2,"P56_batch2","PT2",0.466666666666667
3,"P56_batch2","PT",0.566666666666667
4,"P56_batch2","PT2",0.266666666666667
5,"P56_batch2","immune",0.6
6,"P56_batch2","DCT",0.366666666666667
7,"P56_batch2","PT",0.633333333333333
8,"P56_batch2","LOH",0.466666666666667
9,"P56_batch2","PT",0.666666666666667
10,"P56_batch2","PT",0.266666666666667
11,"P56_batch2","DCT",0.433333333333333
12,"P56_batch2","CNT",0.366666666666667
13,"P56_batch2","CNT",0.466666666666667
14,"P56_batch2","PT",0.6
15,"P56_batch2","stroma1",0.266666666666667
16,"P56_batch2","DCT",0.433333333333333
17,"P56_batch2","DCT",0.4
18,"P56_batch2","DCT",0.566666666666667
19,"P56_batch2","CNT",0.1
20,"P56_batch2","PT2",0.433333333333333
21,"P56_batch2","PT2",0.3
22,"P56_batch2","PT",0.7
23,"P56_batch2","PT2",0.433333333333333
24,"P56_batch2","PT",0.5
25,"P56_batch2","PT2",0.5
26,"P56_batch2","PT",0.433333333333333
27,"P56_batch2","PT",0.633333333333333
28,"P56_batch2","PT2",0.5
29,"P56_batch2","PT",0.533333333333333
30,"P56_batch2","PT",0.6
31,"P56_batch2","PT_out",0.433333333333333
32,"P56_batch2","LOH",0.433333333333333
33,"P56_batch2","PT",0.566666666666667
34,"P56_batch2","Endo",0.666666666666667
35,"P56_batch2","PT",0.266666666666667
36,"P56_batch2","IC",0.3
37,"P56_batch2","DCT",0.633333333333333
38,"P56_batch2","PT",0.466666666666667
39,"P56_batch2","stroma2",0.433333333333333
40,"P56_batch2","PT",0.266666666666667
41,"P56_batch2","PT",0.433333333333333
42,"P56_batch2","PT",0.533333333333333
43,"P56_batch2","PT",0.5
44,"P56_batch2","PT",0.433333333333333
45,"P56_batch2","PT",0.466666666666667
46,"P56_batch2","LOH",0.7
47,"P56_batch2","DCT",0.466666666666667
48,"P56_batch2","DCT",0.5
49,"P56_batch2","PT2",0.5
50,"P56_batch2","immune",0.2
51,"P56_batch2","immune",0.6
52,"P56_batch2","IC",0.433333333333333
53,"P56_batch2","PT",0.466666666666667
54,"P56_batch2","LOH",0.6
55,"P56_batch2","PT2",0.333333333333333
56,"P56_batch2","PT",0.533333333333333
57,"P56_batch2","immune",0.2
58,"P56_batch2","DCT",0.233333333333333
59,"P56_batch2","PT",0.366666666666667
60,"P56_batch2","PT",0.633333333333333
61,"P56_batch2","LOH",0.6
62,"P56_batch2","PT2",0.2
63,"P56_batch2","PT",0.5
64,"P56_batch2","LOH",0.466666666666667
65,"P56_batch2","LOH",0.566666666666667
66,"P56_batch2","PT_out",0.5
67,"P56_batch2","LOH",0.7
68,"P56_batch2","PT_out",0.666666666666667
69,"P56_batch2","Endo",0.833333333333333
70,"P56_batch2","PT",0.266666666666667
71,"P56_batch2","DCT",0.266666666666667
72,"P56_batch2","PT2",0.333333333333333
73,"P56_batch2","PT2",0.266666666666667
74,"P56_batch2","LOH",0.566666666666667
75,"P56_batch2","PT2",0.533333333333333
76,"P56_batch2","LOH",0.633333333333333
77,"P56_batch2","PT2",0.4
78,"P56_batch2","PT",0.433333333333333
79,"P56_batch2","DCT",0.466666666666667
80,"P56_batch2","PC",0.333333333333333
81,"P56_batch2","IC",0.466666666666667
82,"P56_batch2","DCT",0.433333333333333
83,"P56_batch2","PT",0.266666666666667
84,"P56_batch2","PT",0.533333333333333
85,"P56_batch2","PT",0.3
86,"P56_batch2","DCT",0.266666666666667
87,"P56_batch2","IC",0.4
88,"P56_batch2","LOH",0.5
