"row_index","batch","cell_type","cell_observed_mixing_score"
1,"P56_batch2","PT2",0.2
2,"P56_batch2","PT2",0
3,"P56_batch2","PT",0.133333333333333
4,"P56_batch2","PT2",0
5,"P56_batch2","immune",0.266666666666667
6,"P56_batch2","DCT",0
7,"P56_batch2","PT",0.266666666666667
8,"P56_batch2","LOH",0.0333333333333333
9,"P56_batch2","PT",0.333333333333333
10,"P56_batch2","PT",0.0666666666666667
11,"P56_batch2","DCT",0.933333333333333
12,"P56_batch2","CNT",0.0333333333333333
13,"P56_batch2","CNT",0.133333333333333
14,"P56_batch2","PT",0
15,"P56_batch2","stroma1",0.0333333333333333
16,"P56_batch2","DCT",0
17,"P56_batch2","DCT",0
18,"P56_batch2","DCT",0
19,"P56_batch2","CNT",0
20,"P56_batch2","PT2",0
21,"P56_batch2","PT2",0
22,"P56_batch2","PT",0
23,"P56_batch2","PT2",0
24,"P56_batch2","PT",0.0333333333333333
25,"P56_batch2","PT2",0
26,"P56_batch2","PT",0
27,"P56_batch2","PT",0
28,"P56_batch2","PT2",0
29,"P56_batch2","PT",0.0333333333333333
30,"P56_batch2","PT",0.2
31,"P56_batch2","PT_out",0.133333333333333
32,"P56_batch2","LOH",0.2
33,"P56_batch2","PT",0.1
34,"P56_batch2","Endo",0.1
35,"P56_batch2","PT",0.466666666666667
36,"P56_batch2","IC",0.0666666666666667
37,"P56_batch2","DCT",0.0666666666666667
38,"P56_batch2","PT",0
39,"P56_batch2","stroma2",0
40,"P56_batch2","PT",0.0666666666666667
41,"P56_batch2","PT",0.366666666666667
42,"P56_batch2","PT",0.566666666666667
43,"P56_batch2","PT",0
44,"P56_batch2","PT",0
45,"P56_batch2","PT",0.633333333333333
46,"P56_batch2","LOH",0.3
47,"P56_batch2","DCT",0
48,"P56_batch2","DCT",0.833333333333333
49,"P56_batch2","PT2",0
50,"P56_batch2","immune",0.166666666666667
51,"P56_batch2","immune",0.2
52,"P56_batch2","IC",0.0666666666666667
53,"P56_batch2","PT",0.366666666666667
54,"P56_batch2","LOH",0
55,"P56_batch2","PT2",0
56,"P56_batch2","PT",0
57,"P56_batch2","immune",0
58,"P56_batch2","DCT",0
59,"P56_batch2","PT",0.1
60,"P56_batch2","PT",0.166666666666667
