"stage","component","component_index","depth_col","pearson_cor","spearman_cor"
"before","LSI_1",1,"before_depth",-0.973884299301792,-0.998327460379882
"before","LSI_2",2,"before_depth",-0.367361305745921,-0.328030288248329
"before","LSI_3",3,"before_depth",0.236750839359469,0.206282137657536
"before","LSI_4",4,"before_depth",0.504575195976237,0.465456250698855
"before","LSI_5",5,"before_depth",-0.406398673153779,-0.211346417681467
"before","LSI_6",6,"before_depth",0.358894876067461,0.27862562373668
"before","LSI_7",7,"before_depth",0.119785208953763,0.157429804848428
"before","LSI_8",8,"before_depth",-0.0133715201420953,-0.0209690481074305
"before","LSI_9",9,"before_depth",0.0733476558734533,0.0875596484878128
"before","LSI_10",10,"before_depth",-0.150261185010809,-0.0825140781076814
"before","LSI_11",11,"before_depth",0.0799473073141111,0.0261561528990355
"before","LSI_12",12,"before_depth",-0.0126004026764178,-0.0497397064944059
"before","LSI_13",13,"before_depth",0.0831046152268974,0.141878989532856
"before","LSI_14",14,"before_depth",0.0247636817266788,0.0333938949280618
"before","LSI_15",15,"before_depth",-0.0097933516349221,-0.037619358936529
"before","LSI_16",16,"before_depth",-0.0020310687872569,-0.0198567212059284
"before","LSI_17",17,"before_depth",-0.0236408250667117,-0.0435259239844691
"before","LSI_18",18,"before_depth",-0.0144299610858954,-0.0443939371836212
"before","LSI_19",19,"before_depth",-0.0252320769119771,-0.0309621173633678
"before","LSI_20",20,"before_depth",0.0113349276190201,0.0352499127497393
"before","LSI_21",21,"before_depth",-0.0173035878210184,-0.0192692811351516
"before","LSI_22",22,"before_depth",-2.98039504291671e-05,-0.00077109470928291
"before","LSI_23",23,"before_depth",-0.00822879235947642,-0.0318036836606056
"before","LSI_24",24,"before_depth",0.0106506775513326,0.0106788520632368
"before","LSI_25",25,"before_depth",0.0158034234564336,0.0216359763830964
"before","LSI_26",26,"before_depth",0.000568976622772505,-0.00655699747144161
"before","LSI_27",27,"before_depth",-0.00346240217302902,-0.00725954601016637
"before","LSI_28",28,"before_depth",-0.015536487187163,-0.0157220923622556
"before","LSI_29",29,"before_depth",-0.00377154105677805,0.00148485860940471
"before","LSI_30",30,"before_depth",-0.00610946525349744,-0.0129327719478435
"before","LSI_31",31,"before_depth",0.0019392582203403,-0.00653469976070751
"before","LSI_32",32,"before_depth",-0.00620539224405894,-0.00824429501710752
"before","LSI_33",33,"before_depth",0.000113714908569825,0.00468925864905469
"before","LSI_34",34,"before_depth",-0.0163018065550547,-0.0278741443759382
"before","LSI_35",35,"before_depth",-0.00573622863583276,-0.00217929363553583
"before","LSI_36",36,"before_depth",-0.00198420170303205,-0.000203281689461768
"before","LSI_37",37,"before_depth",0.0117450675972694,0.0284702451032135
"before","LSI_38",38,"before_depth",-0.000275510877938634,0.00293316844627389
"before","LSI_39",39,"before_depth",0.00299664745543183,0.00108001803961372
"before","LSI_40",40,"before_depth",0.0030735614262111,0.0105266247177261
"before","LSI_41",41,"before_depth",-0.00538739771657886,-0.0100568629227346
"before","LSI_42",42,"before_depth",-0.00454480440248891,-0.00765698516523197
"before","LSI_43",43,"before_depth",-0.00554637611819472,-0.0056558308654086
"before","LSI_44",44,"before_depth",-0.0070726771214381,-0.00612507203210597
"before","LSI_45",45,"before_depth",-0.00576210114108714,-0.00685871599195974
"before","LSI_46",46,"before_depth",0.00592092970908698,0.00367305251905606
"before","LSI_47",47,"before_depth",0.00710456462717394,0.00655010593183431
"before","LSI_48",48,"before_depth",-0.00603123712602275,-0.0141681306259632
"before","LSI_49",49,"before_depth",-0.0073198330374154,-0.0136292661647611
"before","LSI_50",50,"before_depth",0.00693410600128903,0.0100375234919618
"after","LSI_1",1,"after_depth",0.982981586177747,0.997631451531185
"after","LSI_2",2,"after_depth",0.442027858133134,0.373488108351754
"after","LSI_3",3,"after_depth",0.392111391232159,0.364039414150108
"after","LSI_4",4,"after_depth",0.366919003367286,0.157411979170714
"after","LSI_5",5,"after_depth",-0.36539604199199,-0.314239673879488
"after","LSI_6",6,"after_depth",0.118717317655442,0.15866014099114
"after","LSI_7",7,"after_depth",-0.0655476111277647,-0.0755227158198037
"after","LSI_8",8,"after_depth",-0.263351575009014,-0.342041373708859
"after","LSI_9",9,"after_depth",0.0239711433193713,0.010265136961634
"after","LSI_10",10,"after_depth",0.146433769523141,0.142363417027005
"after","LSI_11",11,"after_depth",0.0258912382963518,0.00375206930375223
"after","LSI_12",12,"after_depth",0.00270135630080305,-0.0321572046187427
"after","LSI_13",13,"after_depth",0.0069419889720722,-0.0199835377363056
"after","LSI_14",14,"after_depth",-0.0144715662635897,-0.0135422074031807
"after","LSI_15",15,"after_depth",0.00314280424586595,-0.000618971838517989
"after","LSI_16",16,"after_depth",-0.0117090171342047,-0.00185089759536177
"after","LSI_17",17,"after_depth",0.00647232530924755,-0.00654125793467353
"after","LSI_18",18,"after_depth",0.00459652276766952,0.00275494728699061
"after","LSI_19",19,"after_depth",0.00121683030883412,-0.014560292559147
"after","LSI_20",20,"after_depth",-0.00316667506154761,0.00170723840093143
"after","LSI_21",21,"after_depth",0.00977235936429893,0.0202649358031049
"after","LSI_22",22,"after_depth",0.0064814897176655,0.00224638439292182
"after","LSI_23",23,"after_depth",0.000902399602464313,-0.00846367622248659
"after","LSI_24",24,"after_depth",0.0049222178964636,0.010245551397994
"after","LSI_25",25,"after_depth",-0.00931784937173491,-0.0146928432203036
"after","LSI_26",26,"after_depth",-0.00918792224466002,0.00456134564585123
"after","LSI_27",27,"after_depth",0.00693078887522442,0.0142646432158545
"after","LSI_28",28,"after_depth",0.00287579441970414,-0.00265988269239892
"after","LSI_29",29,"after_depth",-0.0056601575211337,0.00116494404060884
"after","LSI_30",30,"after_depth",0.00671583744515303,0.00180919586805891
"after","LSI_31",31,"after_depth",-0.0122920579032214,-0.022498747409535
"after","LSI_32",32,"after_depth",-0.00800315884710466,0.00786857505181819
"after","LSI_33",33,"after_depth",0.00518296361753675,-0.00412316011582115
"after","LSI_34",34,"after_depth",-0.00155939925425733,0.00136501617423953
"after","LSI_35",35,"after_depth",-0.00102281192894605,-0.00872295700302507
"after","LSI_36",36,"after_depth",-0.00592927539470378,-0.0147061073767954
"after","LSI_37",37,"after_depth",0.00170581463035217,-0.000746135176443212
"after","LSI_38",38,"after_depth",-0.00633677815393846,-0.0155036541562008
"after","LSI_39",39,"after_depth",-0.0036611295823472,-0.000246511740651803
"after","LSI_40",40,"after_depth",0.00973404739293826,0.0157490477723396
"after","LSI_41",41,"after_depth",0.0023488001916986,0.00635515284689279
"after","LSI_42",42,"after_depth",-0.0029353210271699,0.0123784530739184
"after","LSI_43",43,"after_depth",-0.000655509725453502,0.00412817984035895
"after","LSI_44",44,"after_depth",-0.00453824085650415,-0.0117865586224285
"after","LSI_45",45,"after_depth",0.00129936233559653,0.000244908644133551
"after","LSI_46",46,"after_depth",0.00678108854546869,0.00903507441913002
"after","LSI_47",47,"after_depth",-0.00973114663602291,-0.0132381832441246
"after","LSI_48",48,"after_depth",-0.00217866699233947,0.000366358843568298
"after","LSI_49",49,"after_depth",-0.000451861171565484,-0.00541452974384575
"after","LSI_50",50,"after_depth",0.00295186447343993,0.00897156519652793
