"setting_label","result_dir","n_top_peaks","tested_peaks","fdr_cutoff","significant_batch_peaks","retained_peaks","stage","coordinate_space_type","pc_dims","n_cells","n_features","observed_batch_mixing_score","expected_batch_mixing_score","normalized_batch_mixing_score","k"
"5000/5000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap",10000,5000,0.05,3140,1860,"before","PCA-logNorm",20,13526,10000,0.0194933215042634,0.490206991403151,0.0397654905909571,30
"5000/5000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap",10000,5000,0.05,3140,1860,"before","PCA-logNorm",30,13526,10000,0.0250184829217803,0.490206991403151,0.0510365689607328,30
"5000/5000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap",10000,5000,0.05,3140,1860,"before","PCA-logNorm",50,13526,10000,0.0335822366799744,0.490206991403151,0.0685062377096046,30
"5000/5000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap",10000,5000,0.05,3140,1860,"after","PCA-logNorm",20,13526,1860,0.149428261619597,0.490206991403151,0.304826867507292,30
"5000/5000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap",10000,5000,0.05,3140,1860,"after","PCA-logNorm",30,13526,1860,0.180341564394499,0.490206991403151,0.367888601258616,30
"5000/5000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap",10000,5000,0.05,3140,1860,"after","PCA-logNorm",50,13526,1860,0.246650894573414,0.490206991403151,0.50315662342434,30
"10000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top10000_test10000_fdr005_lsi_saved",10000,10000,0.05,6305,3695,"before","PCA-logNorm",20,13526,10000,0.0194933215042634,0.490206991403151,0.0397654905909571,30
"10000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top10000_test10000_fdr005_lsi_saved",10000,10000,0.05,6305,3695,"before","PCA-logNorm",30,13526,10000,0.0250184829217803,0.490206991403151,0.0510365689607328,30
"10000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top10000_test10000_fdr005_lsi_saved",10000,10000,0.05,6305,3695,"before","PCA-logNorm",50,13526,10000,0.0335822366799744,0.490206991403151,0.0685062377096046,30
"10000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top10000_test10000_fdr005_lsi_saved",10000,10000,0.05,6305,3695,"after","PCA-logNorm",20,13526,3695,0.12627778599241,0.490206991403151,0.257600948593076,30
"10000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top10000_test10000_fdr005_lsi_saved",10000,10000,0.05,6305,3695,"after","PCA-logNorm",30,13526,3695,0.151828577061462,0.490206991403151,0.309723401999782,30
"10000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top10000_test10000_fdr005_lsi_saved",10000,10000,0.05,6305,3695,"after","PCA-logNorm",50,13526,3695,0.207797328601705,0.490206991403151,0.423897113353919,30
"20000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top20000_test10000_fdr005",20000,10000,0.05,6208,3792,"before","PCA-logNorm",20,13526,20000,0.0144561092217458,0.490206991403151,0.0294898062966567,30
"20000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top20000_test10000_fdr005",20000,10000,0.05,6208,3792,"before","PCA-logNorm",30,13526,20000,0.0195204297895411,0.490206991403151,0.0398207902618168,30
"20000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top20000_test10000_fdr005",20000,10000,0.05,6208,3792,"before","PCA-logNorm",50,13526,20000,0.027263541820691,0.490206991403151,0.0556163871564802,30
"20000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top20000_test10000_fdr005",20000,10000,0.05,6208,3792,"after","PCA-logNorm",20,13526,3792,0.117201439203509,0.490206991403151,0.239085613340675,30
"20000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top20000_test10000_fdr005",20000,10000,0.05,6208,3792,"after","PCA-logNorm",30,13526,3792,0.143535906156045,0.490206991403151,0.292806729959508,30
"20000/10000","/home/woodson/PACS_reproducing/results/mouse_kidney_figures/gse157079_p56_pacs_batch_filter_umap_p56_top20000_test10000_fdr005",20000,10000,0.05,6208,3792,"after","PCA-logNorm",50,13526,3792,0.200830499285327,0.490206991403151,0.409685097942967,30
