"peak_index","seqnames","start","end","width","strand","name"
1,"chr1",3115016,3115356,341,"*","chr1:3115016-3115356"
2,"chr1",3119710,3120787,1078,"*","chr1:3119710-3120787"
3,"chr1",3121548,3121773,226,"*","chr1:3121548-3121773"
4,"chr1",3126118,3126601,484,"*","chr1:3126118-3126601"
5,"chr1",3285439,3285639,201,"*","chr1:3285439-3285639"
6,"chr1",3361135,3361390,256,"*","chr1:3361135-3361390"
7,"chr1",3372677,3373210,534,"*","chr1:3372677-3373210"
8,"chr1",3395692,3396006,315,"*","chr1:3395692-3396006"
9,"chr1",3399954,3400530,577,"*","chr1:3399954-3400530"
10,"chr1",3401329,3401569,241,"*","chr1:3401329-3401569"
11,"chr1",3405969,3406169,201,"*","chr1:3405969-3406169"
12,"chr1",3414582,3414985,404,"*","chr1:3414582-3414985"
13,"chr1",3416281,3416655,375,"*","chr1:3416281-3416655"
14,"chr1",3434029,3434320,292,"*","chr1:3434029-3434320"
15,"chr1",3477105,3478110,1006,"*","chr1:3477105-3478110"
16,"chr1",3514890,3515439,550,"*","chr1:3514890-3515439"
17,"chr1",3525927,3526421,495,"*","chr1:3525927-3526421"
18,"chr1",3552794,3553009,216,"*","chr1:3552794-3553009"
19,"chr1",3560758,3561055,298,"*","chr1:3560758-3561055"
20,"chr1",3575895,3576199,305,"*","chr1:3575895-3576199"
21,"chr1",3627697,3628504,808,"*","chr1:3627697-3628504"
22,"chr1",3645464,3645840,377,"*","chr1:3645464-3645840"
23,"chr1",3647588,3647924,337,"*","chr1:3647588-3647924"
24,"chr1",3670718,3672216,1499,"*","chr1:3670718-3672216"
25,"chr1",3779542,3779930,389,"*","chr1:3779542-3779930"
26,"chr1",3913886,3914200,315,"*","chr1:3913886-3914200"
27,"chr1",4029345,4029661,317,"*","chr1:4029345-4029661"
28,"chr1",4036248,4036923,676,"*","chr1:4036248-4036923"
29,"chr1",4056260,4056460,201,"*","chr1:4056260-4056460"
30,"chr1",4077581,4077892,312,"*","chr1:4077581-4077892"
31,"chr1",4086851,4087051,201,"*","chr1:4086851-4087051"
32,"chr1",4097969,4098690,722,"*","chr1:4097969-4098690"
33,"chr1",4228369,4228661,293,"*","chr1:4228369-4228661"
34,"chr1",4332681,4332896,216,"*","chr1:4332681-4332896"
35,"chr1",4352050,4352282,233,"*","chr1:4352050-4352282"
36,"chr1",4354988,4355553,566,"*","chr1:4354988-4355553"
37,"chr1",4392722,4393307,586,"*","chr1:4392722-4393307"
38,"chr1",4409324,4409657,334,"*","chr1:4409324-4409657"
39,"chr1",4412461,4413007,547,"*","chr1:4412461-4413007"
40,"chr1",4416972,4417172,201,"*","chr1:4416972-4417172"
41,"chr1",4419906,4420293,388,"*","chr1:4419906-4420293"
42,"chr1",4421242,4421646,405,"*","chr1:4421242-4421646"
43,"chr1",4426728,4427841,1114,"*","chr1:4426728-4427841"
44,"chr1",4430177,4430377,201,"*","chr1:4430177-4430377"
45,"chr1",4430541,4430797,257,"*","chr1:4430541-4430797"
46,"chr1",4432377,4433099,723,"*","chr1:4432377-4433099"
47,"chr1",4433440,4434126,687,"*","chr1:4433440-4434126"
48,"chr1",4451422,4451639,218,"*","chr1:4451422-4451639"
49,"chr1",4456746,4457351,606,"*","chr1:4456746-4457351"
50,"chr1",4461954,4462246,293,"*","chr1:4461954-4462246"
51,"chr1",4468586,4468864,279,"*","chr1:4468586-4468864"
52,"chr1",4471236,4471897,662,"*","chr1:4471236-4471897"
53,"chr1",4473947,4474396,450,"*","chr1:4473947-4474396"
54,"chr1",4479784,4480114,331,"*","chr1:4479784-4480114"
55,"chr1",4491834,4492882,1049,"*","chr1:4491834-4492882"
56,"chr1",4493326,4493998,673,"*","chr1:4493326-4493998"
57,"chr1",4496472,4496899,428,"*","chr1:4496472-4496899"
58,"chr1",4497449,4497887,439,"*","chr1:4497449-4497887"
59,"chr1",4514066,4514484,419,"*","chr1:4514066-4514484"
60,"chr1",4516784,4517085,302,"*","chr1:4516784-4517085"
61,"chr1",4518634,4518869,236,"*","chr1:4518634-4518869"
62,"chr1",4520616,4520816,201,"*","chr1:4520616-4520816"
63,"chr1",4520902,4521160,259,"*","chr1:4520902-4521160"
64,"chr1",4521708,4522281,574,"*","chr1:4521708-4522281"
65,"chr1",4527572,4527912,341,"*","chr1:4527572-4527912"
66,"chr1",4532533,4532733,201,"*","chr1:4532533-4532733"
67,"chr1",4543985,4544603,619,"*","chr1:4543985-4544603"
68,"chr1",4549949,4550496,548,"*","chr1:4549949-4550496"
69,"chr1",4571420,4572898,1479,"*","chr1:4571420-4572898"
70,"chr1",4576662,4577534,873,"*","chr1:4576662-4577534"
71,"chr1",4597885,4598395,511,"*","chr1:4597885-4598395"
72,"chr1",4602302,4602914,613,"*","chr1:4602302-4602914"
73,"chr1",4604246,4604464,219,"*","chr1:4604246-4604464"
74,"chr1",4609074,4609288,215,"*","chr1:4609074-4609288"
75,"chr1",4614108,4614544,437,"*","chr1:4614108-4614544"
76,"chr1",4615312,4615822,511,"*","chr1:4615312-4615822"
77,"chr1",4617444,4618115,672,"*","chr1:4617444-4618115"
78,"chr1",4622444,4622947,504,"*","chr1:4622444-4622947"
79,"chr1",4623262,4623793,532,"*","chr1:4623262-4623793"
80,"chr1",4641965,4642362,398,"*","chr1:4641965-4642362"
81,"chr1",4653932,4654639,708,"*","chr1:4653932-4654639"
82,"chr1",4655298,4655794,497,"*","chr1:4655298-4655794"
83,"chr1",4669960,4670231,272,"*","chr1:4669960-4670231"
84,"chr1",4671523,4672855,1333,"*","chr1:4671523-4672855"
85,"chr1",4674553,4674922,370,"*","chr1:4674553-4674922"
86,"chr1",4687426,4688252,827,"*","chr1:4687426-4688252"
87,"chr1",4689052,4689658,607,"*","chr1:4689052-4689658"
88,"chr1",4706234,4706701,468,"*","chr1:4706234-4706701"
89,"chr1",4720458,4720670,213,"*","chr1:4720458-4720670"
90,"chr1",4722403,4722868,466,"*","chr1:4722403-4722868"
91,"chr1",4724713,4725204,492,"*","chr1:4724713-4725204"
92,"chr1",4739470,4740090,621,"*","chr1:4739470-4740090"
93,"chr1",4741988,4742188,201,"*","chr1:4741988-4742188"
94,"chr1",4745666,4746285,620,"*","chr1:4745666-4746285"
95,"chr1",4746894,4747360,467,"*","chr1:4746894-4747360"
96,"chr1",4756166,4756517,352,"*","chr1:4756166-4756517"
97,"chr1",4760513,4761045,533,"*","chr1:4760513-4761045"
98,"chr1",4766557,4767159,603,"*","chr1:4766557-4767159"
99,"chr1",4767710,4768005,296,"*","chr1:4767710-4768005"
100,"chr1",4768542,4768815,274,"*","chr1:4768542-4768815"
101,"chr1",4770050,4770328,279,"*","chr1:4770050-4770328"
102,"chr1",4775022,4775814,793,"*","chr1:4775022-4775814"
103,"chr1",4780289,4780594,306,"*","chr1:4780289-4780594"
104,"chr1",4785209,4786255,1047,"*","chr1:4785209-4786255"
105,"chr1",4801886,4802167,282,"*","chr1:4801886-4802167"
106,"chr1",4807558,4808493,936,"*","chr1:4807558-4808493"
107,"chr1",4809052,4809365,314,"*","chr1:4809052-4809365"
108,"chr1",4809999,4810835,837,"*","chr1:4809999-4810835"
109,"chr1",4819628,4820006,379,"*","chr1:4819628-4820006"
110,"chr1",4820241,4820570,330,"*","chr1:4820241-4820570"
111,"chr1",4821057,4821266,210,"*","chr1:4821057-4821266"
112,"chr1",4822542,4822831,290,"*","chr1:4822542-4822831"
113,"chr1",4829348,4829890,543,"*","chr1:4829348-4829890"
114,"chr1",4834231,4834673,443,"*","chr1:4834231-4834673"
115,"chr1",4843603,4844201,599,"*","chr1:4843603-4844201"
116,"chr1",4857515,4858642,1128,"*","chr1:4857515-4858642"
117,"chr1",4869143,4870060,918,"*","chr1:4869143-4870060"
118,"chr1",4874667,4874902,236,"*","chr1:4874667-4874902"
119,"chr1",4910639,4911467,829,"*","chr1:4910639-4911467"
120,"chr1",4914638,4915017,380,"*","chr1:4914638-4915017"
121,"chr1",4926516,4926777,262,"*","chr1:4926516-4926777"
122,"chr1",5019022,5019893,872,"*","chr1:5019022-5019893"
123,"chr1",5022764,5023246,483,"*","chr1:5022764-5023246"
124,"chr1",5070301,5070759,459,"*","chr1:5070301-5070759"
125,"chr1",5082900,5083806,907,"*","chr1:5082900-5083806"
126,"chr1",5086246,5086478,233,"*","chr1:5086246-5086478"
127,"chr1",5107985,5108446,462,"*","chr1:5107985-5108446"
128,"chr1",5108611,5109070,460,"*","chr1:5108611-5109070"
129,"chr1",5114630,5114843,214,"*","chr1:5114630-5114843"
130,"chr1",5127323,5127534,212,"*","chr1:5127323-5127534"
131,"chr1",5128637,5129259,623,"*","chr1:5128637-5129259"
132,"chr1",5174675,5174973,299,"*","chr1:5174675-5174973"
133,"chr1",5175169,5175423,255,"*","chr1:5175169-5175423"
134,"chr1",5221042,5221400,359,"*","chr1:5221042-5221400"
135,"chr1",5228023,5228263,241,"*","chr1:5228023-5228263"
136,"chr1",5258367,5258663,297,"*","chr1:5258367-5258663"
137,"chr1",5261290,5261792,503,"*","chr1:5261290-5261792"
138,"chr1",5311807,5312222,416,"*","chr1:5311807-5312222"
139,"chr1",5312777,5313014,238,"*","chr1:5312777-5313014"
140,"chr1",5420994,5421376,383,"*","chr1:5420994-5421376"
141,"chr1",5461783,5462088,306,"*","chr1:5461783-5462088"
142,"chr1",5588348,5588805,458,"*","chr1:5588348-5588805"
143,"chr1",5915544,5915865,322,"*","chr1:5915544-5915865"
144,"chr1",5916612,5917368,757,"*","chr1:5916612-5917368"
145,"chr1",6076789,6077146,358,"*","chr1:6076789-6077146"
146,"chr1",6082146,6082363,218,"*","chr1:6082146-6082363"
147,"chr1",6135285,6135591,307,"*","chr1:6135285-6135591"
