"peak_index","seqnames","start","end","width","strand","name","peak_detection"
24,"chr1",3670718,3672216,1499,"*","chr1:3670718-3672216",1856
69,"chr1",4571420,4572898,1479,"*","chr1:4571420-4572898",2453
104,"chr1",4785209,4786255,1047,"*","chr1:4785209-4786255",3112
106,"chr1",4807558,4808493,936,"*","chr1:4807558-4808493",4817
116,"chr1",4857515,4858642,1128,"*","chr1:4857515-4858642",9236
125,"chr1",5082900,5083806,907,"*","chr1:5082900-5083806",4029
151,"chr1",6214252,6215528,1277,"*","chr1:6214252-6215528",7042
192,"chr1",7088450,7089463,1014,"*","chr1:7088450-7089463",12926
211,"chr1",7397734,7398644,911,"*","chr1:7397734-7398644",10651
253,"chr1",9545109,9545739,631,"*","chr1:9545109-9545739",8109
254,"chr1",9547914,9548424,511,"*","chr1:9547914-9548424",3177
260,"chr1",9564548,9565869,1322,"*","chr1:9564548-9565869",3393
262,"chr1",9567865,9568509,645,"*","chr1:9567865-9568509",2938
272,"chr1",9630066,9631526,1461,"*","chr1:9630066-9631526",3062
282,"chr1",9699855,9701074,1220,"*","chr1:9699855-9701074",6609
287,"chr1",9747729,9748989,1261,"*","chr1:9747729-9748989",9189
295,"chr1",9797678,9798951,1274,"*","chr1:9797678-9798951",2846
306,"chr1",9847879,9849058,1180,"*","chr1:9847879-9849058",3413
324,"chr1",9943797,9944511,715,"*","chr1:9943797-9944511",4256
329,"chr1",9967077,9968554,1478,"*","chr1:9967077-9968554",2501
331,"chr1",9985328,9986155,828,"*","chr1:9985328-9986155",1768
342,"chr1",10037663,10038498,836,"*","chr1:10037663-10038498",4278
343,"chr1",10039645,10040566,922,"*","chr1:10039645-10040566",6215
355,"chr1",10169821,10170969,1149,"*","chr1:10169821-10170969",2113
360,"chr1",10231691,10233696,2006,"*","chr1:10231691-10233696",5089
419,"chr1",10993262,10994215,954,"*","chr1:10993262-10994215",1861
620,"chr1",13313652,13315176,1525,"*","chr1:13313652-13315176",4106
637,"chr1",13372309,13374691,2383,"*","chr1:13372309-13374691",11397
660,"chr1",13589245,13590375,1131,"*","chr1:13589245-13590375",4714
676,"chr1",13656254,13656707,454,"*","chr1:13656254-13656707",1924
677,"chr1",13659766,13661182,1417,"*","chr1:13659766-13661182",5428
679,"chr1",13677823,13678416,594,"*","chr1:13677823-13678416",1809
812,"chr1",15286409,15287457,1049,"*","chr1:15286409-15287457",1777
843,"chr1",15610643,15611548,906,"*","chr1:15610643-15611548",2495
851,"chr1",15644395,15645297,903,"*","chr1:15644395-15645297",1828
865,"chr1",15805370,15806616,1247,"*","chr1:15805370-15806616",6335
895,"chr1",16104260,16106651,2392,"*","chr1:16104260-16106651",10235
912,"chr1",16186233,16188423,2191,"*","chr1:16186233-16188423",2367
954,"chr1",16518686,16520292,1607,"*","chr1:16518686-16520292",4020
969,"chr1",16618717,16619781,1065,"*","chr1:16618717-16619781",6285
973,"chr1",16656595,16657799,1205,"*","chr1:16656595-16657799",9640
974,"chr1",16665090,16666145,1056,"*","chr1:16665090-16666145",3070
978,"chr1",16687971,16689243,1273,"*","chr1:16687971-16689243",2968
998,"chr1",17096902,17098351,1450,"*","chr1:17096902-17098351",5074
1149,"chr1",20477641,20478458,818,"*","chr1:20477641-20478458",2071
1167,"chr1",20617868,20618676,809,"*","chr1:20617868-20618676",3410
1168,"chr1",20619322,20619910,589,"*","chr1:20619322-20619910",3151
1169,"chr1",20653705,20654747,1043,"*","chr1:20653705-20654747",4796
1193,"chr1",20820049,20820780,732,"*","chr1:20820049-20820780",6926
1200,"chr1",20890284,20891583,1300,"*","chr1:20890284-20891583",3713
1210,"chr1",20951262,20952091,830,"*","chr1:20951262-20952091",4473
1239,"chr1",21078906,21079968,1063,"*","chr1:21078906-21079968",7065
1252,"chr1",21166241,21167114,874,"*","chr1:21166241-21167114",2790
1253,"chr1",21218458,21219131,674,"*","chr1:21218458-21219131",3052
1258,"chr1",21239975,21240917,943,"*","chr1:21239975-21240917",2860
1396,"chr1",23256012,23257267,1256,"*","chr1:23256012-23257267",10432
1401,"chr1",23271124,23272070,947,"*","chr1:23271124-23272070",2553
1410,"chr1",23382777,23383860,1084,"*","chr1:23382777-23383860",8110
1445,"chr1",23761243,23763341,2099,"*","chr1:23761243-23763341",6004
1467,"chr1",23921773,23922730,958,"*","chr1:23921773-23922730",4012
1481,"chr1",24005303,24006039,737,"*","chr1:24005303-24006039",3115
1490,"chr1",24099775,24101024,1250,"*","chr1:24099775-24101024",6386
1551,"chr1",24677925,24679539,1615,"*","chr1:24677925-24679539",5379
1696,"chr1",30872996,30874355,1360,"*","chr1:30872996-30874355",6303
1703,"chr1",30949117,30950573,1457,"*","chr1:30949117-30950573",10264
1753,"chr1",32172326,32173215,890,"*","chr1:32172326-32173215",2590
1851,"chr1",33669476,33670791,1316,"*","chr1:33669476-33670791",2782
1858,"chr1",33719724,33720691,968,"*","chr1:33719724-33720691",2811
1866,"chr1",33757244,33758293,1050,"*","chr1:33757244-33758293",2403
1871,"chr1",33813818,33815000,1183,"*","chr1:33813818-33815000",3902
1900,"chr1",34011137,34012461,1325,"*","chr1:34011137-34012461",1762
1934,"chr1",34120332,34122192,1861,"*","chr1:34120332-34122192",3329
1935,"chr1",34123069,34123947,879,"*","chr1:34123069-34123947",2375
1943,"chr1",34139894,34140737,844,"*","chr1:34139894-34140737",2096
1955,"chr1",34174656,34175576,921,"*","chr1:34174656-34175576",1782
1967,"chr1",34236147,34236969,823,"*","chr1:34236147-34236969",1895
1968,"chr1",34237388,34238216,829,"*","chr1:34237388-34238216",2115
1999,"chr1",34434847,34435315,469,"*","chr1:34434847-34435315",1884
2000,"chr1",34439213,34440200,988,"*","chr1:34439213-34440200",10468
2001,"chr1",34459331,34460561,1231,"*","chr1:34459331-34460561",4819
2047,"chr1",34841690,34843774,2085,"*","chr1:34841690-34843774",4336
2048,"chr1",34849807,34850990,1184,"*","chr1:34849807-34850990",2281
2136,"chr1",35727432,35727975,544,"*","chr1:35727432-35727975",1819
2162,"chr1",35858499,35859206,708,"*","chr1:35858499-35859206",1801
2200,"chr1",36013707,36014556,850,"*","chr1:36013707-36014556",4386
2202,"chr1",36016767,36017761,995,"*","chr1:36016767-36017761",3578
2210,"chr1",36064884,36065847,964,"*","chr1:36064884-36065847",3321
2213,"chr1",36068094,36068917,824,"*","chr1:36068094-36068917",5421
2214,"chr1",36069350,36069944,595,"*","chr1:36069350-36069944",1889
2215,"chr1",36074772,36075624,853,"*","chr1:36074772-36075624",4623
2217,"chr1",36079535,36080293,759,"*","chr1:36079535-36080293",6054
