"peak_index","seqnames","start","end","width","strand","name"
1,"chr1",3115016,3115356,341,"*","chr1:3115016-3115356"
13,"chr1",3416281,3416655,375,"*","chr1:3416281-3416655"
15,"chr1",3477105,3478110,1006,"*","chr1:3477105-3478110"
17,"chr1",3525927,3526421,495,"*","chr1:3525927-3526421"
18,"chr1",3552794,3553009,216,"*","chr1:3552794-3553009"
124,"chr1",5070301,5070759,459,"*","chr1:5070301-5070759"
151,"chr1",6214252,6215528,1277,"*","chr1:6214252-6215528"
162,"chr1",6303861,6304082,222,"*","chr1:6303861-6304082"
177,"chr1",6479631,6479833,203,"*","chr1:6479631-6479833"
183,"chr1",6867051,6867371,321,"*","chr1:6867051-6867371"
186,"chr1",6973891,6974400,510,"*","chr1:6973891-6974400"
207,"chr1",7298819,7299409,591,"*","chr1:7298819-7299409"
229,"chr1",8467563,8467821,259,"*","chr1:8467563-8467821"
238,"chr1",8845522,8845789,268,"*","chr1:8845522-8845789"
243,"chr1",9221535,9221899,365,"*","chr1:9221535-9221899"
245,"chr1",9315746,9316067,322,"*","chr1:9315746-9316067"
256,"chr1",9550658,9550987,330,"*","chr1:9550658-9550987"
334,"chr1",9992020,9992345,326,"*","chr1:9992020-9992345"
346,"chr1",10089606,10090006,401,"*","chr1:10089606-10090006"
347,"chr1",10096198,10096777,580,"*","chr1:10096198-10096777"
360,"chr1",10231691,10233696,2006,"*","chr1:10231691-10233696"
365,"chr1",10259686,10260155,470,"*","chr1:10259686-10260155"
368,"chr1",10266297,10266859,563,"*","chr1:10266297-10266859"
373,"chr1",10300464,10301042,579,"*","chr1:10300464-10301042"
389,"chr1",10491959,10492376,418,"*","chr1:10491959-10492376"
416,"chr1",10943178,10943530,353,"*","chr1:10943178-10943530"
421,"chr1",11011016,11011854,839,"*","chr1:11011016-11011854"
440,"chr1",11210695,11211271,577,"*","chr1:11210695-11211271"
442,"chr1",11234124,11234329,206,"*","chr1:11234124-11234329"
476,"chr1",12140806,12141246,441,"*","chr1:12140806-12141246"
495,"chr1",12519314,12519779,466,"*","chr1:12519314-12519779"
532,"chr1",12869282,12869511,230,"*","chr1:12869282-12869511"
543,"chr1",12991765,12993042,1278,"*","chr1:12991765-12993042"
560,"chr1",13145433,13145770,338,"*","chr1:13145433-13145770"
574,"chr1",13194672,13194913,242,"*","chr1:13194672-13194913"
583,"chr1",13224758,13225222,465,"*","chr1:13224758-13225222"
614,"chr1",13303894,13304322,429,"*","chr1:13303894-13304322"
641,"chr1",13423843,13424074,232,"*","chr1:13423843-13424074"
655,"chr1",13561522,13562087,566,"*","chr1:13561522-13562087"
671,"chr1",13646624,13646998,375,"*","chr1:13646624-13646998"
678,"chr1",13669214,13670139,926,"*","chr1:13669214-13670139"
702,"chr1",13849098,13849904,807,"*","chr1:13849098-13849904"
708,"chr1",13980267,13980703,437,"*","chr1:13980267-13980703"
716,"chr1",14037689,14037907,219,"*","chr1:14037689-14037907"
723,"chr1",14162541,14162741,201,"*","chr1:14162541-14162741"
728,"chr1",14179717,14180031,315,"*","chr1:14179717-14180031"
787,"chr1",14716173,14716982,810,"*","chr1:14716173-14716982"
789,"chr1",14740226,14740555,330,"*","chr1:14740226-14740555"
793,"chr1",14782845,14783155,311,"*","chr1:14782845-14783155"
796,"chr1",14818762,14819544,783,"*","chr1:14818762-14819544"
797,"chr1",14841329,14842032,704,"*","chr1:14841329-14842032"
801,"chr1",14902557,14902810,254,"*","chr1:14902557-14902810"
807,"chr1",14980510,14980773,264,"*","chr1:14980510-14980773"
811,"chr1",15207373,15207623,251,"*","chr1:15207373-15207623"
813,"chr1",15299428,15299628,201,"*","chr1:15299428-15299628"
818,"chr1",15323768,15323968,201,"*","chr1:15323768-15323968"
828,"chr1",15428678,15429336,659,"*","chr1:15428678-15429336"
829,"chr1",15442926,15443384,459,"*","chr1:15442926-15443384"
832,"chr1",15452609,15452850,242,"*","chr1:15452609-15452850"
839,"chr1",15582333,15582660,328,"*","chr1:15582333-15582660"
866,"chr1",15814854,15815699,846,"*","chr1:15814854-15815699"
871,"chr1",15892283,15893143,861,"*","chr1:15892283-15893143"
884,"chr1",16022510,16022745,236,"*","chr1:16022510-16022745"
899,"chr1",16120799,16120999,201,"*","chr1:16120799-16120999"
914,"chr1",16202095,16202784,690,"*","chr1:16202095-16202784"
938,"chr1",16295894,16296666,773,"*","chr1:16295894-16296666"
942,"chr1",16313787,16314183,397,"*","chr1:16313787-16314183"
947,"chr1",16397407,16398004,598,"*","chr1:16397407-16398004"
965,"chr1",16606871,16607735,865,"*","chr1:16606871-16607735"
979,"chr1",16690477,16690721,245,"*","chr1:16690477-16690721"
984,"chr1",16747411,16747693,283,"*","chr1:16747411-16747693"
1006,"chr1",17278133,17278393,261,"*","chr1:17278133-17278393"
1009,"chr1",17394854,17395395,542,"*","chr1:17394854-17395395"
1021,"chr1",17571430,17571718,289,"*","chr1:17571430-17571718"
1036,"chr1",17742187,17742394,208,"*","chr1:17742187-17742394"
1039,"chr1",18013084,18013358,275,"*","chr1:18013084-18013358"
1055,"chr1",19088369,19088620,252,"*","chr1:19088369-19088620"
1060,"chr1",19199176,19199376,201,"*","chr1:19199176-19199376"
1066,"chr1",19217652,19217926,275,"*","chr1:19217652-19217926"
1067,"chr1",19223792,19224062,271,"*","chr1:19223792-19224062"
1082,"chr1",19321358,19322138,781,"*","chr1:19321358-19322138"
1096,"chr1",19507917,19508192,276,"*","chr1:19507917-19508192"
1106,"chr1",19612135,19612343,209,"*","chr1:19612135-19612343"
1122,"chr1",20141126,20141413,288,"*","chr1:20141126-20141413"
1143,"chr1",20414912,20415302,391,"*","chr1:20414912-20415302"
1168,"chr1",20619322,20619910,589,"*","chr1:20619322-20619910"
1178,"chr1",20736246,20736602,357,"*","chr1:20736246-20736602"
1193,"chr1",20820049,20820780,732,"*","chr1:20820049-20820780"
1194,"chr1",20824029,20824278,250,"*","chr1:20824029-20824278"
1209,"chr1",20941993,20942641,649,"*","chr1:20941993-20942641"
1214,"chr1",20994584,20994842,259,"*","chr1:20994584-20994842"
1218,"chr1",21002470,21003173,704,"*","chr1:21002470-21003173"
1224,"chr1",21025479,21025736,258,"*","chr1:21025479-21025736"
1237,"chr1",21075986,21076508,523,"*","chr1:21075986-21076508"
1254,"chr1",21225173,21225383,211,"*","chr1:21225173-21225383"
1268,"chr1",21285627,21285853,227,"*","chr1:21285627-21285853"
1269,"chr1",21296391,21296731,341,"*","chr1:21296391-21296731"
1296,"chr1",21543814,21544628,815,"*","chr1:21543814-21544628"
1319,"chr1",22073375,22073701,327,"*","chr1:22073375-22073701"
1321,"chr1",22116633,22116985,353,"*","chr1:22116633-22116985"
1325,"chr1",22136874,22137191,318,"*","chr1:22136874-22137191"
1333,"chr1",22268804,22269510,707,"*","chr1:22268804-22269510"
1335,"chr1",22275450,22275991,542,"*","chr1:22275450-22275991"
1338,"chr1",22301925,22302220,296,"*","chr1:22301925-22302220"
1340,"chr1",22315489,22316103,615,"*","chr1:22315489-22316103"
1359,"chr1",22721000,22721349,350,"*","chr1:22721000-22721349"
1369,"chr1",22977970,22978531,562,"*","chr1:22977970-22978531"
1396,"chr1",23256012,23257267,1256,"*","chr1:23256012-23257267"
1429,"chr1",23589562,23590275,714,"*","chr1:23589562-23590275"
1472,"chr1",23943957,23944668,712,"*","chr1:23943957-23944668"
1475,"chr1",23959060,23959479,420,"*","chr1:23959060-23959479"
1486,"chr1",24074583,24074873,291,"*","chr1:24074583-24074873"
1495,"chr1",24130078,24130443,366,"*","chr1:24130078-24130443"
1509,"chr1",24226286,24226486,201,"*","chr1:24226286-24226486"
1521,"chr1",24328420,24328657,238,"*","chr1:24328420-24328657"
1542,"chr1",24551057,24551258,202,"*","chr1:24551057-24551258"
1555,"chr1",24700044,24700836,793,"*","chr1:24700044-24700836"
1556,"chr1",24702837,24703282,446,"*","chr1:24702837-24703282"
1584,"chr1",25527207,25527407,201,"*","chr1:25527207-25527407"
1590,"chr1",25829853,25831644,1792,"*","chr1:25829853-25831644"
1598,"chr1",26849709,26850030,322,"*","chr1:26849709-26850030"
1609,"chr1",27722219,27722647,429,"*","chr1:27722219-27722647"
1676,"chr1",30780502,30780794,293,"*","chr1:30780502-30780794"
1694,"chr1",30847281,30848537,1257,"*","chr1:30847281-30848537"
1702,"chr1",30938723,30939488,766,"*","chr1:30938723-30939488"
1726,"chr1",31113512,31113985,474,"*","chr1:31113512-31113985"
1734,"chr1",31164514,31165138,625,"*","chr1:31164514-31165138"
1739,"chr1",31230817,31231223,407,"*","chr1:31230817-31231223"
1746,"chr1",31404087,31404289,203,"*","chr1:31404087-31404289"
1785,"chr1",32932946,32933222,277,"*","chr1:32932946-32933222"
1804,"chr1",33223287,33223589,303,"*","chr1:33223287-33223589"
1836,"chr1",33582974,33583296,323,"*","chr1:33582974-33583296"
1853,"chr1",33680517,33681440,924,"*","chr1:33680517-33681440"
1860,"chr1",33739218,33739863,646,"*","chr1:33739218-33739863"
1869,"chr1",33769100,33769308,209,"*","chr1:33769100-33769308"
1885,"chr1",33945201,33945499,299,"*","chr1:33945201-33945499"
1904,"chr1",34026034,34026345,312,"*","chr1:34026034-34026345"
1907,"chr1",34030414,34030833,420,"*","chr1:34030414-34030833"
1919,"chr1",34074603,34075080,478,"*","chr1:34074603-34075080"
1971,"chr1",34246039,34247075,1037,"*","chr1:34246039-34247075"
2003,"chr1",34472196,34473563,1368,"*","chr1:34472196-34473563"
2005,"chr1",34485457,34486384,928,"*","chr1:34485457-34486384"
2008,"chr1",34516867,34517082,216,"*","chr1:34516867-34517082"
2016,"chr1",34601405,34602108,704,"*","chr1:34601405-34602108"
2058,"chr1",34863419,34863868,450,"*","chr1:34863419-34863868"
2062,"chr1",34891734,34892097,364,"*","chr1:34891734-34892097"
2068,"chr1",35003193,35003699,507,"*","chr1:35003193-35003699"
2079,"chr1",35201791,35202439,649,"*","chr1:35201791-35202439"
2094,"chr1",35347741,35348839,1099,"*","chr1:35347741-35348839"
2102,"chr1",35436567,35436836,270,"*","chr1:35436567-35436836"
2108,"chr1",35469371,35469711,341,"*","chr1:35469371-35469711"
2116,"chr1",35536425,35536870,446,"*","chr1:35536425-35536870"
2135,"chr1",35726834,35727152,319,"*","chr1:35726834-35727152"
2149,"chr1",35810813,35811044,232,"*","chr1:35810813-35811044"
2158,"chr1",35848943,35849360,418,"*","chr1:35848943-35849360"
2163,"chr1",35860998,35861253,256,"*","chr1:35860998-35861253"
2166,"chr1",35865060,35865752,693,"*","chr1:35865060-35865752"
2178,"chr1",35935082,35935804,723,"*","chr1:35935082-35935804"
2181,"chr1",35941619,35942221,603,"*","chr1:35941619-35942221"
2196,"chr1",35986627,35987170,544,"*","chr1:35986627-35987170"
2211,"chr1",36066362,36066713,352,"*","chr1:36066362-36066713"
2212,"chr1",36067404,36067698,295,"*","chr1:36067404-36067698"
2214,"chr1",36069350,36069944,595,"*","chr1:36069350-36069944"
2221,"chr1",36087964,36088955,992,"*","chr1:36087964-36088955"
2228,"chr1",36105179,36105667,489,"*","chr1:36105179-36105667"
2230,"chr1",36109634,36109890,257,"*","chr1:36109634-36109890"
2247,"chr1",36134668,36135078,411,"*","chr1:36134668-36135078"
