"peak_index","seqnames","start","end","width","strand","name","peak_detection","top_peak_col","p_value","fdr","is_batch_peak"
125053,"chr17",39843133,39846875,3743,"*","chr17:39843133-39846875",11968,4139,0.0964417859287871,0.136952266300465,FALSE
294623,"chrM",172,6605,6434,"*","chrM:172-6605",11381,9863,0.614298917898658,0.689758497528249,FALSE
294624,"chrM",11121,15870,4750,"*","chrM:11121-15870",11161,9864,1,1,FALSE
125054,"chr17",39847439,39848921,1483,"*","chr17:39847439-39848921",10464,4140,0.171677158682502,0.229330962707056,FALSE
294655,"chrUn_JH584304",59605,60375,771,"*","chrUn_JH584304:59605-60375",10454,9867,0.0340464920637284,0.0537349937874501,FALSE
108362,"chr15",102405389,102407080,1692,"*","chr15:102405389-102407080",8920,3534,1,1,FALSE
114501,"chr16",42874702,42876594,1893,"*","chr16:42874702-42876594",8903,3754,1,1,FALSE
127249,"chr17",57031569,57032525,957,"*","chr17:57031569-57032525",8284,4227,1,1,FALSE
246676,"chr7",25267484,25268676,1193,"*","chr7:25267484-25268676",8271,8135,1,1,FALSE
258950,"chr7",127477616,127479291,1676,"*","chr7:127477616-127479291",8261,8641,1,1,FALSE
124606,"chr17",34603487,34604655,1169,"*","chr17:34603487-34604655",7983,4095,1,1,FALSE
12314,"chr1",131526259,131528219,1961,"*","chr1:131526259-131528219",7827,332,0.461523387521646,0.542414638621535,FALSE
114097,"chr16",38088380,38089803,1424,"*","chr16:38088380-38089803",7804,3749,1,1,FALSE
6968,"chr1",75316905,75318317,1413,"*","chr1:75316905-75318317",7733,204,1,1,FALSE
269003,"chr8",70212200,70213334,1135,"*","chr8:70212200-70213334",7717,8935,1,1,FALSE
135353,"chr18",36559603,36560894,1292,"*","chr18:36559603-36560894",7636,4445,0.617699711941321,0.693110089700764,FALSE
104690,"chr15",81810292,81812153,1862,"*","chr15:81810292-81812153",7626,3362,1,1,FALSE
127057,"chr17",56079037,56079924,888,"*","chr17:56079037-56079924",7578,4209,1,1,FALSE
143943,"chr19",11965130,11966083,954,"*","chr19:11965130-11966083",7509,4768,0.543499032322234,0.622137170698528,FALSE
241833,"chr6",124828843,124830441,1599,"*","chr6:124828843-124830441",7498,7932,0.521681630675999,0.601887489283485,FALSE
